absolute_tick,tick_in_period,duty_cycle,pwm_out
131,31,0.1,0
132,32,0.1,0
133,33,0.1,0
134,34,0.1,0
135,35,0.1,0
136,36,0.1,0
137,37,0.1,0
138,38,0.1,0
139,39,0.1,0
140,40,0.1,0
141,41,0.1,0
142,42,0.1,0
143,43,0.1,0
144,44,0.1,0
145,45,0.1,0
146,46,0.1,0
147,47,0.1,0
148,48,0.1,0
149,49,0.1,0
150,50,0.1,0
151,51,0.1,0
152,52,0.1,0
153,53,0.1,0
154,54,0.1,0
155,55,0.1,0
156,56,0.1,0
157,57,0.1,0
158,58,0.1,0
159,59,0.1,0
160,60,0.1,0
161,61,0.1,0
162,62,0.1,0
163,63,0.1,0
164,64,0.1,0
165,65,0.1,0
166,66,0.1,0
167,67,0.1,0
168,68,0.1,0
169,69,0.1,0
170,70,0.1,0
171,71,0.1,0
172,72,0.1,0
173,73,0.1,0
174,74,0.1,0
175,75,0.1,0
176,76,0.1,0
177,77,0.1,0
178,78,0.1,0
179,79,0.1,0
180,80,0.1,0
181,81,0.1,0
182,82,0.1,0
183,83,0.1,0
184,84,0.1,0
185,85,0.1,0
186,86,0.1,0
187,87,0.1,0
188,88,0.1,0
189,89,0.1,0
190,90,0.1,0
191,91,0.1,0
192,92,0.1,0
193,93,0.1,0
194,94,0.1,0
195,95,0.1,0
196,96,0.1,0
197,97,0.1,0
198,98,0.1,0
199,99,0.1,0
200,0,0.1,1
201,1,0.1,1
202,2,0.1,1
203,3,0.1,1
204,4,0.1,1
205,5,0.1,1
206,6,0.1,1
207,7,0.1,1
208,8,0.1,1
209,9,0.1,1
210,10,0.1,0
211,11,0.1,0
212,12,0.1,0
213,13,0.1,0
214,14,0.1,0
215,15,0.1,0
216,16,0.1,0
217,17,0.1,0
218,18,0.1,0
219,19,0.1,0
220,20,0.1,0
221,21,0.1,0
222,22,0.1,0
223,23,0.1,0
224,24,0.1,0
225,25,0.1,0
226,26,0.1,0
227,27,0.1,0
228,28,0.1,0
229,29,0.1,0
230,30,0.1,0
231,31,0.1,0
232,32,0.1,0
233,33,0.1,0
234,34,0.1,0
235,35,0.1,0
236,36,0.1,0
237,37,0.1,0
238,38,0.1,0
239,39,0.1,0
240,40,0.1,0
241,41,0.1,0
242,42,0.1,0
243,43,0.1,0
244,44,0.1,0
245,45,0.1,0
246,46,0.1,0
247,47,0.1,0
248,48,0.1,0
249,49,0.1,0
250,50,0.1,0
251,51,0.1,0
252,52,0.1,0
253,53,0.1,0
254,54,0.1,0
255,55,0.1,0
256,56,0.1,0
257,57,0.1,0
258,58,0.1,0
259,59,0.1,0
260,60,0.1,0
261,61,0.1,0
262,62,0.1,0
263,63,0.1,0
264,64,0.1,0
265,65,0.1,0
266,66,0.1,0
267,67,0.1,0
268,68,0.1,0
269,69,0.1,0
270,70,0.1,0
271,71,0.1,0
272,72,0.1,0
273,73,0.1,0
274,74,0.1,0
275,75,0.1,0
276,76,0.1,0
277,77,0.1,0
278,78,0.1,0
279,79,0.1,0
280,80,0.1,0
281,81,0.1,0
282,82,0.1,0
283,83,0.1,0
284,84,0.1,0
285,85,0.1,0
286,86,0.1,0
287,87,0.1,0
288,88,0.1,0
289,89,0.1,0
290,90,0.1,0
291,91,0.1,0
292,92,0.1,0
293,93,0.1,0
294,94,0.1,0
295,95,0.1,0
296,96,0.1,0
297,97,0.1,0
298,98,0.1,0
299,99,0.1,0
0,0,0.25,1
1,1,0.25,1
2,2,0.25,1
3,3,0.25,1
4,4,0.25,1
5,5,0.25,1
6,6,0.25,1
7,7,0.25,1
8,8,0.25,1
9,9,0.25,1
10,10,0.25,1
11,11,0.25,1
12,12,0.25,1
13,13,0.25,1
14,14,0.25,1
15,15,0.25,1
16,16,0.25,1
17,17,0.25,1
18,18,0.25,1
19,19,0.25,1
20,20,0.25,1
21,21,0.25,1
22,22,0.25,1
23,23,0.25,1
24,24,0.25,1
25,25,0.25,0
26,26,0.25,0
27,27,0.25,0
28,28,0.25,0
29,29,0.25,0
30,30,0.25,0
31,31,0.25,0
32,32,0.25,0
33,33,0.25,0
34,34,0.25,0
35,35,0.25,0
36,36,0.25,0
37,37,0.25,0
38,38,0.25,0
39,39,0.25,0
40,40,0.25,0
41,41,0.25,0
42,42,0.25,0
43,43,0.25,0
44,44,0.25,0
45,45,0.25,0
46,46,0.25,0
47,47,0.25,0
48,48,0.25,0
49,49,0.25,0
50,50,0.25,0
51,51,0.25,0
52,52,0.25,0
53,53,0.25,0
54,54,0.25,0
55,55,0.25,0
56,56,0.25,0
57,57,0.25,0
58,58,0.25,0
59,59,0.25,0
60,60,0.25,0
61,61,0.25,0
62,62,0.25,0
63,63,0.25,0
64,64,0.25,0
65,65,0.25,0
66,66,0.25,0
67,67,0.25,0
68,68,0.25,0
69,69,0.25,0
70,70,0.25,0
71,71,0.25,0
72,72,0.25,0
73,73,0.25,0
74,74,0.25,0
75,75,0.25,0
76,76,0.25,0
77,77,0.25,0
78,78,0.25,0
79,79,0.25,0
80,80,0.25,0
81,81,0.25,0
82,82,0.25,0
83,83,0.25,0
84,84,0.25,0
85,85,0.25,0
86,86,0.25,0
87,87,0.25,0
88,88,0.25,0
89,89,0.25,0
90,90,0.25,0
91,91,0.25,0
92,92,0.25,0
93,93,0.25,0
94,94,0.25,0
95,95,0.25,0
96,96,0.25,0
97,97,0.25,0
98,98,0.25,0
99,99,0.25,0
100,0,0.25,1
101,1,0.25,1
102,2,0.25,1
103,3,0.25,1
104,4,0.25,1
105,5,0.25,1
106,6,0.25,1
107,7,0.25,1
108,8,0.25,1
109,9,0.25,1
110,10,0.25,1
111,11,0.25,1
112,12,0.25,1
113,13,0.25,1
114,14,0.25,1
115,15,0.25,1
116,16,0.25,1
117,17,0.25,1
118,18,0.25,1
119,19,0.25,1
120,20,0.25,1
121,21,0.25,1
122,22,0.25,1
123,23,0.25,1
124,24,0.25,1
125,25,0.25,0
126,26,0.25,0
127,27,0.25,0
128,28,0.25,0
129,29,0.25,0
130,30,0.25,0
131,31,0.25,0
132,32,0.25,0
133,33,0.25,0
134,34,0.25,0
135,35,0.25,0
136,36,0.25,0
137,37,0.25,0
138,38,0.25,0
139,39,0.25,0
140,40,0.25,0
141,41,0.25,0
142,42,0.25,0
143,43,0.25,0
144,44,0.25,0
145,45,0.25,0
146,46,0.25,0
147,47,0.25,0
148,48,0.25,0
149,49,0.25,0
150,50,0.25,0
151,51,0.25,0
152,52,0.25,0
153,53,0.25,0
154,54,0.25,0
155,55,0.25,0
156,56,0.25,0
157,57,0.25,0
158,58,0.25,0
159,59,0.25,0
160,60,0.25,0
161,61,0.25,0
162,62,0.25,0
163,63,0.25,0
164,64,0.25,0
165,65,0.25,0
166,66,0.25,0
167,67,0.25,0
168,68,0.25,0
169,69,0.25,0
170,70,0.25,0
171,71,0.25,0
172,72,0.25,0
173,73,0.25,0
174,74,0.25,0
175,75,0.25,0
176,76,0.25,0
177,77,0.25,0
178,78,0.25,0
179,79,0.25,0
180,80,0.25,0
181,81,0.25,0
182,82,0.25,0
183,83,0.25,0
184,84,0.25,0
185,85,0.25,0
186,86,0.25,0
187,87,0.25,0
188,88,0.25,0
189,89,0.25,0
190,90,0.25,0
191,91,0.25,0
192,92,0.25,0
193,93,0.25,0
194,94,0.25,0
195,95,0.25,0
196,96,0.25,0
197,97,0.25,0
198,98,0.25,0
199,99,0.25,0
200,0,0.25,1
201,1,0.25,1
202,2,0.25,1
203,3,0.25,1
204,4,0.25,1
205,5,0.25,1
206,6,0.25,1
207,7,0.25,1
208,8,0.25,1
209,9,0.25,1
210,10,0.25,1
211,11,0.25,1
212,12,0.25,1
213,13,0.25,1
214,14,0.25,1
215,15,0.25,1
216,16,0.25,1
217,17,0.25,1
218,18,0.25,1
219,19,0.25,1
220,20,0.25,1
221,21,0.25,1
222,22,0.25,1
223,23,0.25,1
224,24,0.25,1
225,25,0.25,0
226,26,0.25,0
227,27,0.25,0
228,28,0.25,0
229,29,0.25,0
230,30,0.25,0
231,31,0.25,0
232,32,0.25,0
233,33,0.25,0
234,34,0.25,0
235,35,0.25,0
236,36,0.25,0
237,37,0.25,0
238,38,0.25,0
239,39,0.25,0
240,40,0.25,0
241,41,0.25,0
242,42,0.25,0
243,43,0.25,0
244,44,0.25,0
245,45,0.25,0
246,46,0.25,0
247,47,0.25,0
248,48,0.25,0
249,49,0.25,0
250,50,0.25,0
251,51,0.25,0
252,52,0.25,0
253,53,0.25,0
254,54,0.25,0
255,55,0.25,0
256,56,0.25,0
257,57,0.25,0
258,58,0.25,0
259,59,0.25,0
260,60,0.25,0
261,61,0.25,0
262,62,0.25,0
263,63,0.25,0
264,64,0.25,0
265,65,0.25,0
266,66,0.25,0
267,67,0.25,0
268,68,0.25,0
269,69,0.25,0
270,70,0.25,0
271,71,0.25,0
272,72,0.25,0
273,73,0.25,0
274,74,0.25,0
275,75,0.25,0
276,76,0.25,0
277,77,0.25,0
278,78,0.25,0
279,79,0.25,0
280,80,0.25,0
281,81,0.25,0
282,82,0.25,0
283,83,0.25,0
284,84,0.25,0
285,85,0.25,0
286,86,0.25,0
287,87,0.25,0
288,88,0.25,0
289,89,0.25,0
290,90,0.25,0
291,91,0.25,0
292,92,0.25,0
293,93,0.25,0
294,94,0.25,0
295,95,0.25,0
296,96,0.25,0
297,97,0.25,0
298,98,0.25,0
299,99,0.25,0
0,0,0.5,1
1,1,0.5,1
2,2,0.5,1
3,3,0.5,1
4,4,0.5,1
5,5,0.5,1
6,6,0.5,1
7,7,0.5,1
8,8,0.5,1
9,9,0.5,1
10,10,0.5,1
11,11,0.5,1
12,12,0.5,1
13,13,0.5,1
14,14,0.5,1
15,15,0.5,1
16,16,0.5,1
17,17,0.5,1
18,18,0.5,1
19,19,0.5,1
20,20,0.5,1
21,21,0.5,1
22,22,0.5,1
23,23,0.5,1
24,24,0.5,1
25,25,0.5,1
26,26,0.5,1
27,27,0.5,1
28,28,0.5,1
29,29,0.5,1
30,30,0.5,1
31,31,0.5,1
32,32,0.5,1
33,33,0.5,1
34,34,0.5,1
35,35,0.5,1
36,36,0.5,1
37,37,0.5,1
38,38,0.5,1
39,39,0.5,1
40,40,0.5,1
41,41,0.5,1
42,42,0.5,1
43,43,0.5,1
44,44,0.5,1
45,45,0.5,1
46,46,0.5,1
47,47,0.5,1
48,48,0.5,1
49,49,0.5,1
50,50,0.5,0
51,51,0.5,0
52,52,0.5,0
53,53,0.5,0
54,54,0.5,0
55,55,0.5,0
56,56,0.5,0
57,57,0.5,0
58,58,0.5,0
59,59,0.5,0
60,60,0.5,0
61,61,0.5,0
62,62,0.5,0
63,63,0.5,0
64,64,0.5,0
65,65,0.5,0
66,66,0.5,0
67,67,0.5,0
68,68,0.5,0
69,69,0.5,0
70,70,0.5,0
71,71,0.5,0
72,72,0.5,0
73,73,0.5,0
74,74,0.5,0
75,75,0.5,0
76,76,0.5,0
77,77,0.5,0
78,78,0.5,0
79,79,0.5,0
80,80,0.5,0
81,81,0.5,0
82,82,0.5,0
83,83,0.5,0
84,84,0.5,0
85,85,0.5,0
86,86,0.5,0
87,87,0.5,0
88,88,0.5,0
89,89,0.5,0
90,90,0.5,0
91,91,0.5,0
92,92,0.5,0
93,93,0.5,0
94,94,0.5,0
95,95,0.5,0
96,96,0.5,0
97,97,0.5,0
98,98,0.5,0
99,99,0.5,0
100,0,0.5,1
101,1,0.5,1
102,2,0.5,1
103,3,0.5,1
104,4,0.5,1
105,5,0.5,1
106,6,0.5,1
107,7,0.5,1
108,8,0.5,1
109,9,0.5,1
110,10,0.5,1
111,11,0.5,1
112,12,0.5,1
113,13,0.5,1
114,14,0.5,1
115,15,0.5,1
116,16,0.5,1
117,17,0.5,1
118,18,0.5,1
119,19,0.5,1
120,20,0.5,1
121,21,0.5,1
122,22,0.5,1
123,23,0.5,1
124,24,0.5,1
125,25,0.5,1
126,26,0.5,1
127,27,0.5,1
128,28,0.5,1
129,29,0.5,1
130,30,0.5,1
131,31,0.5,1
132,32,0.5,1
133,33,0.5,1
134,34,0.5,1
135,35,0.5,1
136,36,0.5,1
137,37,0.5,1
138,38,0.5,1
139,39,0.5,1
140,40,0.5,1
141,41,0.5,1
142,42,0.5,1
143,43,0.5,1
144,44,0.5,1
145,45,0.5,1
146,46,0.5,1
147,47,0.5,1
148,48,0.5,1
149,49,0.5,1
150,50,0.5,0
151,51,0.5,0
152,52,0.5,0
153,53,0.5,0
154,54,0.5,0
155,55,0.5,0
156,56,0.5,0
157,57,0.5,0
158,58,0.5,0
159,59,0.5,0
160,60,0.5,0
161,61,0.5,0
162,62,0.5,0
163,63,0.5,0
164,64,0.5,0
165,65,0.5,0
166,66,0.5,0
167,67,0.5,0
168,68,0.5,0
169,69,0.5,0
170,70,0.5,0
171,71,0.5,0
172,72,0.5,0
173,73,0.5,0
174,74,0.5,0
175,75,0.5,0
176,76,0.5,0
177,77,0.5,0
178,78,0.5,0
179,79,0.5,0
180,80,0.5,0
181,81,0.5,0
182,82,0.5,0
183,83,0.5,0
184,84,0.5,0
185,85,0.5,0
186,86,0.5,0
187,87,0.5,0
188,88,0.5,0
189,89,0.5,0
190,90,0.5,0
191,91,0.5,0
192,92,0.5,0
193,93,0.5,0
194,94,0.5,0
195,95,0.5,0
196,96,0.5,0
197,97,0.5,0
198,98,0.5,0
199,99,0.5,0
200,0,0.5,1
201,1,0.5,1
202,2,0.5,1
203,3,0.5,1
204,4,0.5,1
205,5,0.5,1
206,6,0.5,1
207,7,0.5,1
208,8,0.5,1
209,9,0.5,1
210,10,0.5,1
211,11,0.5,1
212,12,0.5,1
213,13,0.5,1
214,14,0.5,1
215,15,0.5,1
216,16,0.5,1
217,17,0.5,1
218,18,0.5,1
219,19,0.5,1
220,20,0.5,1
221,21,0.5,1
222,22,0.5,1
223,23,0.5,1
224,24,0.5,1
225,25,0.5,1
226,26,0.5,1
227,27,0.5,1
228,28,0.5,1
229,29,0.5,1
230,30,0.5,1
231,31,0.5,1
232,32,0.5,1
233,33,0.5,1
234,34,0.5,1
235,35,0.5,1
236,36,0.5,1
237,37,0.5,1
238,38,0.5,1
239,39,0.5,1
240,40,0.5,1
241,41,0.5,1
242,42,0.5,1
243,43,0.5,1
244,44,0.5,1
245,45,0.5,1
246,46,0.5,1
247,47,0.5,1
248,48,0.5,1
249,49,0.5,1
250,50,0.5,0
251,51,0.5,0
252,52,0.5,0
253,53,0.5,0
254,54,0.5,0
255,55,0.5,0
256,56,0.5,0
257,57,0.5,0
258,58,0.5,0
259,59,0.5,0
260,60,0.5,0
261,61,0.5,0
262,62,0.5,0
263,63,0.5,0
264,64,0.5,0
265,65,0.5,0
266,66,0.5,0
267,67,0.5,0
268,68,0.5,0
269,69,0.5,0
270,70,0.5,0
271,71,0.5,0
272,72,0.5,0
273,73,0.5,0
274,74,0.5,0
275,75,0.5,0
276,76,0.5,0
277,77,0.5,0
278,78,0.5,0
279,79,0.5,0
280,80,0.5,0
281,81,0.5,0
282,82,0.5,0
283,83,0.5,0
284,84,0.5,0
285,85,0.5,0
286,86,0.5,0
287,87,0.5,0
288,88,0.5,0
289,89,0.5,0
290,90,0.5,0
291,91,0.5,0
292,92,0.5,0
293,93,0.5,0
294,94,0.5,0
295,95,0.5,0
296,96,0.5,0
297,97,0.5,0
298,98,0.5,0
299,99,0.5,0
0,0,0.75,1
1,1,0.75,1
2,2,0.75,1
3,3,0.75,1
4,4,0.75,1
5,5,0.75,1
6,6,0.75,1
7,7,0.75,1
8,8,0.75,1
9,9,0.75,1
10,10,0.75,1
11,11,0.75,1
12,12,0.75,1
13,13,0.75,1
14,14,0.75,1
15,15,0.75,1
16,16,0.75,1
17,17,0.75,1
18,18,0.75,1
19,19,0.75,1
20,20,0.75,1
21,21,0.75,1
22,22,0.75,1
23,23,0.75,1
24,24,0.75,1
25,25,0.75,1
26,26,0.75,1
27,27,0.75,1
28,28,0.75,1
29,29,0.75,1
30,30,0.75,1
31,31,0.75,1
32,32,0.75,1
33,33,0.75,1
34,34,0.75,1
35,35,0.75,1
36,36,0.75,1
37,37,0.75,1
38,38,0.75,1
39,39,0.75,1
40,40,0.75,1
41,41,0.75,1
42,42,0.75,1
43,43,0.75,1
44,44,0.75,1
45,45,0.75,1
46,46,0.75,1
47,47,0.75,1
48,48,0.75,1
49,49,0.75,1
50,50,0.75,1
51,51,0.75,1
52,52,0.75,1
53,53,0.75,1
54,54,0.75,1
55,55,0.75,1
56,56,0.75,1
57,57,0.75,1
58,58,0.75,1
59,59,0.75,1
60,60,0.75,1
61,61,0.75,1
62,62,0.75,1
63,63,0.75,1
64,64,0.75,1
65,65,0.75,1
66,66,0.75,1
67,67,0.75,1
68,68,0.75,1
69,69,0.75,1
70,70,0.75,1
71,71,0.75,1
72,72,0.75,1
73,73,0.75,1
74,74,0.75,1
75,75,0.75,0
76,76,0.75,0
77,77,0.75,0
78,78,0.75,0
79,79,0.75,0
80,80,0.75,0
81,81,0.75,0
82,82,0.75,0
83,83,0.75,0
84,84,0.75,0
85,85,0.75,0
86,86,0.75,0
87,87,0.75,0
88,88,0.75,0
89,89,0.75,0
90,90,0.75,0
91,91,0.75,0
92,92,0.75,0
93,93,0.75,0
94,94,0.75,0
95,95,0.75,0
96,96,0.75,0
97,97,0.75,0
98,98,0.75,0
99,99,0.75,0
100,0,0.75,1
101,1,0.75,1
102,2,0.75,1
103,3,0.75,1
104,4,0.75,1
105,5,0.75,1
106,6,0.75,1
107,7,0.75,1
108,8,0.75,1
109,9,0.75,1
110,10,0.75,1
111,11,0.75,1
112,12,0.75,1
113,13,0.75,1
114,14,0.75,1
115,15,0.75,1
116,16,0.75,1
117,17,0.75,1
118,18,0.75,1
119,19,0.75,1
120,20,0.75,1
121,21,0.75,1
122,22,0.75,1
123,23,0.75,1
124,24,0.75,1
125,25,0.75,1
126,26,0.75,1
127,27,0.75,1
128,28,0.75,1
129,29,0.75,1
130,30,0.75,1
131,31,0.75,1
132,32,0.75,1
133,33,0.75,1
134,34,0.75,1
135,35,0.75,1
136,36,0.75,1
137,37,0.75,1
138,38,0.75,1
139,39,0.75,1
140,40,0.75,1
141,41,0.75,1
142,42,0.75,1
143,43,0.75,1
144,44,0.75,1
145,45,0.75,1
146,46,0.75,1
147,47,0.75,1
148,48,0.75,1
149,49,0.75,1
150,50,0.75,1
151,51,0.75,1
152,52,0.75,1
153,53,0.75,1
154,54,0.75,1
155,55,0.75,1
156,56,0.75,1
157,57,0.75,1
158,58,0.75,1
159,59,0.75,1
160,60,0.75,1
161,61,0.75,1
162,62,0.75,1
163,63,0.75,1
164,64,0.75,1
165,65,0.75,1
166,66,0.75,1
167,67,0.75,1
168,68,0.75,1
169,69,0.75,1
170,70,0.75,1
171,71,0.75,1
172,72,0.75,1
173,73,0.75,1
174,74,0.75,1
175,75,0.75,0
176,76,0.75,0
177,77,0.75,0
178,78,0.75,0
179,79,0.75,0
180,80,0.75,0
181,81,0.75,0
182,82,0.75,0
183,83,0.75,0
184,84,0.75,0
185,85,0.75,0
186,86,0.75,0
187,87,0.75,0
188,88,0.75,0
189,89,0.75,0
190,90,0.75,0
191,91,0.75,0
192,92,0.75,0
193,93,0.75,0
194,94,0.75,0
195,95,0.75,0
196,96,0.75,0
197,97,0.75,0
198,98,0.75,0
199,99,0.75,0
200,0,0.75,1
201,1,0.75,1
202,2,0.75,1
203,3,0.75,1
204,4,0.75,1
205,5,0.75,1
206,6,0.75,1
207,7,0.75,1
208,8,0.75,1
209,9,0.75,1
210,10,0.75,1
211,11,0.75,1
212,12,0.75,1
213,13,0.75,1
214,14,0.75,1
215,15,0.75,1
216,16,0.75,1
217,17,0.75,1
218,18,0.75,1
219,19,0.75,1
220,20,0.75,1
221,21,0.75,1
222,22,0.75,1
223,23,0.75,1
224,24,0.75,1
225,25,0.75,1
226,26,0.75,1
227,27,0.75,1
228,28,0.75,1
229,29,0.75,1
230,30,0.75,1
231,31,0.75,1
232,32,0.75,1
233,33,0.75,1
234,34,0.75,1
235,35,0.75,1
236,36,0.75,1
237,37,0.75,1
238,38,0.75,1
239,39,0.75,1
240,40,0.75,1
241,41,0.75,1
242,42,0.75,1
243,43,0.75,1
244,44,0.75,1
245,45,0.75,1
246,46,0.75,1
247,47,0.75,1
248,48,0.75,1
249,49,0.75,1
250,50,0.75,1
251,51,0.75,1
252,52,0.75,1
253,53,0.75,1
254,54,0.75,1
255,55,0.75,1
256,56,0.75,1
257,57,0.75,1
258,58,0.75,1
259,59,0.75,1
260,60,0.75,1
261,61,0.75,1
262,62,0.75,1
263,63,0.75,1
264,64,0.75,1
265,65,0.75,1
266,66,0.75,1
267,67,0.75,1
268,68,0.75,1
269,69,0.75,1
270,70,0.75,1
271,71,0.75,1
272,72,0.75,1
273,73,0.75,1
274,74,0.75,1
275,75,0.75,0
276,76,0.75,0
277,77,0.75,0
278,78,0.75,0
279,79,0.75,0
280,80,0.75,0
281,81,0.75,0
282,82,0.75,0
283,83,0.75,0
284,84,0.75,0
285,85,0.75,0
286,86,0.75,0
287,87,0.75,0
288,88,0.75,0
289,89,0.75,0
290,90,0.75,0
291,91,0.75,0
292,92,0.75,0
293,93,0.75,0
294,94,0.75,0
295,95,0.75,0
296,96,0.75,0
297,97,0.75,0
298,98,0.75,0
299,99,0.75,0
